,channel_id,name,ranking,userlocal-url,youtube-url
0,UC4YaOt1yT-ZeyB0OmxHgolA,キズナアイ,1,https://virtual-youtuber.userlocal.jp/user/D780B63C2DEBA9A2_fa95ae,https://www.youtube.com/channel/UC4YaOt1yT-ZeyB0OmxHgolA
1,UCbFwe3COkDrbNsbMyGNCsDg,キズナアイ(ゲーム),2,https://virtual-youtuber.userlocal.jp/user/538612673177E888_594fe8,https://www.youtube.com/channel/UCbFwe3COkDrbNsbMyGNCsDg
2,UCQYADFw7xEJ9oZSM5ZbqyBw,輝夜月(かぐやるな),3,https://virtual-youtuber.userlocal.jp/user/3636EECB49E075A1_941766,https://www.youtube.com/channel/UCQYADFw7xEJ9oZSM5ZbqyBw
3,UCMYtONm441rBogWK_xPH9HA,ミライアカリ,4,https://virtual-youtuber.userlocal.jp/user/bittranslate_295a57,https://www.youtube.com/channel/UCMYtONm441rBogWK_xPH9HA
4,UCLhUvJ_wO9hOvv_yYENu4fQ,電脳少女YouTuberシロ,5,https://virtual-youtuber.userlocal.jp/user/5C9973C694A2C341_632bad,https://www.youtube.com/channel/UCLhUvJ_wO9hOvv_yYENu4fQ
5,UCevD0wKzJFpfIkvHOiQsfLQ,猫宮ひなた,6,https://virtual-youtuber.userlocal.jp/user/89910EDFDEE71374_c89d97,https://www.youtube.com/channel/UCevD0wKzJFpfIkvHOiQsfLQ
6,UCy5lOmEQoivK5XK7QCaRKug,ヨメミ,7,https://virtual-youtuber.userlocal.jp/user/76779A79FB961C6F_09fd5f,https://www.youtube.com/channel/UCy5lOmEQoivK5XK7QCaRKug
7,UCD-miitqNY3nyukJ4Fnf4_A,月ノ美兎,8,https://virtual-youtuber.userlocal.jp/user/C898E8B881277C0F_04c1b7,https://www.youtube.com/channel/UCD-miitqNY3nyukJ4Fnf4_A
8,UCt8tmsv8kL9Nc1sxvCo9j4Q,バーチャル番組連盟,9,https://virtual-youtuber.userlocal.jp/user/7010FB17DB359783_32329c,https://www.youtube.com/channel/UCt8tmsv8kL9Nc1sxvCo9j4Q
9,UCFv2z4iM5vHrS8bZPq4fHQQ,田中ヒメ 鈴木ヒナ,10,https://virtual-youtuber.userlocal.jp/user/1A418E3295B56D96_de5097,https://www.youtube.com/channel/UCFv2z4iM5vHrS8bZPq4fHQQ
10,UC2ZVDmnoZAOdLt7kI7Uaqog,夢咲楓,11,https://virtual-youtuber.userlocal.jp/user/547E1BBCDF322065_442e07,https://www.youtube.com/channel/UC2ZVDmnoZAOdLt7kI7Uaqog
11,UCp6993wxpyDPHUpavwDFqgg,ときのそら,12,https://virtual-youtuber.userlocal.jp/user/6192AB0775AB99D8_500450,https://www.youtube.com/channel/UCp6993wxpyDPHUpavwDFqgg
12,UCyof-1Ko_jy2sOtivyTpc4Q,ハロー キティ,13,https://virtual-youtuber.userlocal.jp/user/E4DF93ED5AAC079B_013b45,https://www.youtube.com/channel/UCyof-1Ko_jy2sOtivyTpc4Q
13,UCHTnX0CSX_KObo5I9WuZ64g,YuNi,14,https://virtual-youtuber.userlocal.jp/user/10E0A22BFD47B979_880d33,https://www.youtube.com/channel/UCHTnX0CSX_KObo5I9WuZ64g
14,UCGaUWM5OQ7hU1JwbqvNBR4w,鳩羽つぐ,15,https://virtual-youtuber.userlocal.jp/user/D2FE53350AB68411_e545e7,https://www.youtube.com/channel/UCGaUWM5OQ7hU1JwbqvNBR4w
15,UC6oDys1BGgBsIC3WhG1BovQ,静凛,16,https://virtual-youtuber.userlocal.jp/user/29CEC3EFA6105249_343a05,https://www.youtube.com/channel/UC6oDys1BGgBsIC3WhG1BovQ
16,UC3Ruo_5doyu514PesWGvCAg,富士葵(ふじあおい),17,https://virtual-youtuber.userlocal.jp/user/30421103775B4424_30be23,https://www.youtube.com/channel/UC3Ruo_5doyu514PesWGvCAg
17,UCTMgd9qnUD9qKBX5oTtD6ug,バーチャルおばあちゃん(VB),18,https://virtual-youtuber.userlocal.jp/user/F095D62F71693E25_ba599e,https://www.youtube.com/channel/UCTMgd9qnUD9qKBX5oTtD6ug
18,UCARI2g7r-PHaxrIcAYsMfmA,アズマ リム(アズリム),19,https://virtual-youtuber.userlocal.jp/user/8F71E9A6780E1793_fc51eb,https://www.youtube.com/channel/UCARI2g7r-PHaxrIcAYsMfmA
19,UCw5MXcDMVg6oT69yfulq33Q,田中のおっさん,20,https://virtual-youtuber.userlocal.jp/user/C9B8A0E88DD2A65B_b5769e,https://www.youtube.com/channel/UCw5MXcDMVg6oT69yfulq33Q
20,UCsg-YqdqQ-KFF0LNk23BY4A,樋口楓,21,https://virtual-youtuber.userlocal.jp/user/52748F89D2812519_1b2da5,https://www.youtube.com/channel/UCsg-YqdqQ-KFF0LNk23BY4A
21,UCdDpQ461uxNA3odAnpuigAg,Ami Yamato(海外),22,https://virtual-youtuber.userlocal.jp/user/yamatoami_424c54,https://www.youtube.com/channel/UCdDpQ461uxNA3odAnpuigAg
22,UCfFhyViosklD4kvyO-M0BJA,かんな,23,https://virtual-youtuber.userlocal.jp/user/F1B737B7B76280F5_fd925d,https://www.youtube.com/channel/UCfFhyViosklD4kvyO-M0BJA
23,UCGcD5iUDG8xiywZeeDxye-A,織田信姫,24,https://virtual-youtuber.userlocal.jp/user/58A63B81421B069E_bf64ae,https://www.youtube.com/channel/UCGcD5iUDG8xiywZeeDxye-A
24,UCBePKUYNhoMcjBi-BRmjarQ,夏実萌恵,25,https://virtual-youtuber.userlocal.jp/user/TheOtakuMoe_6a93f1,https://www.youtube.com/channel/UCBePKUYNhoMcjBi-BRmjarQ
25,UCeAfiVvEuyICYJW-f3GnQjQ,ヤミクモケリン,26,https://virtual-youtuber.userlocal.jp/user/B601FB18723F7A5E_714bca,https://www.youtube.com/channel/UCeAfiVvEuyICYJW-f3GnQjQ
26,UCt0clH12Xk1-Ej5PXKGfdPA,物述有栖,27,https://virtual-youtuber.userlocal.jp/user/963ADB19F773B2C2_586eb8,https://www.youtube.com/channel/UCt0clH12Xk1-Ej5PXKGfdPA
27,UCAr7rLi_Wn09G-XfTA07d4g,天神子兎音(てんじんことね),28,https://virtual-youtuber.userlocal.jp/user/0EEF2E805F20612A_0de0d1,https://www.youtube.com/channel/UCAr7rLi_Wn09G-XfTA07d4g
28,UCIdEIHpS0TdkqRkHL5OkLtA,名取さな,29,https://virtual-youtuber.userlocal.jp/user/BDCB42D08D7273B3_75fb39,https://www.youtube.com/channel/UCIdEIHpS0TdkqRkHL5OkLtA
29,UCfiK42sBHraMBK6eNWtsy7A,かしこまり,30,https://virtual-youtuber.userlocal.jp/user/D4069AEC24B3F8B8_ff1185,https://www.youtube.com/channel/UCfiK42sBHraMBK6eNWtsy7A
30,UCYKP16oMX9KKPbrNgo_Kgag,エルフのえる,31,https://virtual-youtuber.userlocal.jp/user/E0DB71357A7B03D3_3403f2,https://www.youtube.com/channel/UCYKP16oMX9KKPbrNgo_Kgag
31,UCCebk1_w5oiMUTRxdNJq0sA,道明寺ここあ,32,https://virtual-youtuber.userlocal.jp/user/D758763519B04FA6_f83eb3,https://www.youtube.com/channel/UCCebk1_w5oiMUTRxdNJq0sA
32,UCwokZsOK_uEre70XayaFnzA,鈴鹿詩子,33,https://virtual-youtuber.userlocal.jp/user/9097EADDD1C6239E_223c11,https://www.youtube.com/channel/UCwokZsOK_uEre70XayaFnzA
33,UC6TyfKcsrPwBsBnx2QobVLQ,ばあちゃる,34,https://virtual-youtuber.userlocal.jp/user/0630BC7992265241_e56728,https://www.youtube.com/channel/UC6TyfKcsrPwBsBnx2QobVLQ
